corpusSize,layer,query,sourceHit,faithfulness,relevancy,durationMs,error
10,1,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",1,1,0.5,18,
10,1,"Teknik borç nedir ve nasıl yönetilmelidir?",1,1,0.8,0,
10,1,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",1,1,1,0,
10,2,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",1,0.8,0.6,571,
10,2,"Teknik borç nedir ve nasıl yönetilmelidir?",1,0.8,0.5,152,
10,2,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",1,1,0.5,154,
10,3,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",1,1,1,1819,
10,3,"Teknik borç nedir ve nasıl yönetilmelidir?",1,1,1,2414,
10,3,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",1,1,1,1009,
25,1,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",1,1,0.5,0,
25,1,"Teknik borç nedir ve nasıl yönetilmelidir?",1,1,0.8,0,
25,1,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",1,1,0.5,0,
25,2,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",1,0.7,0.5,1462,
25,2,"Teknik borç nedir ve nasıl yönetilmelidir?",1,0.5,0.5,292,
25,2,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",1,1,0.5,317,
25,3,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",1,1,1,6549,
25,3,"Teknik borç nedir ve nasıl yönetilmelidir?",1,1,1,2507,
25,3,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",1,1,1,971,
50,1,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",1,1,0.5,0,
50,1,"Teknik borç nedir ve nasıl yönetilmelidir?",1,0.5,0.5,0,
50,1,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",1,1,0.5,1,
50,2,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",1,0.7,0.5,933,
50,2,"Teknik borç nedir ve nasıl yönetilmelidir?",1,0.5,0.5,161,
50,2,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",1,1,0.8,157,
50,3,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",1,1,1,7774,
50,3,"Teknik borç nedir ve nasıl yönetilmelidir?",1,1,1,1875,
50,3,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",1,1,1,884,
100,1,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",1,1,0.5,1,
100,1,"Teknik borç nedir ve nasıl yönetilmelidir?",1,0.5,0.5,1,
100,1,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",1,1,0.5,5,
100,2,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",1,0.5,0.5,1141,
100,2,"Teknik borç nedir ve nasıl yönetilmelidir?",1,0.5,0.5,172,
100,2,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",1,1,0.7,219,
100,3,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",1,1,1,10848,
100,3,"Teknik borç nedir ve nasıl yönetilmelidir?",1,1,1,2496,
100,3,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",1,1,1,958,
