strategy,corpusSize,query,expectedDocId,expectedPresent,sourceHit,activeLayer,durationMs,faithfulness,relevancy
adaptive,1,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,20,1,1
adaptive,1,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,1,0,0,0
adaptive,1,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,1,0,0,0
adaptive,3,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,0,1,1
adaptive,3,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,1,0,0,0
adaptive,3,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,1,0,0,0
adaptive,5,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,0,1,1
adaptive,5,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,1,0,0,0
adaptive,5,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,1,0,0,0
adaptive,10,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,1,1,1
adaptive,10,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,1,0,1,1
adaptive,10,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,1,0,1,1
adaptive,15,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,0,1,1
adaptive,15,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,1,0,1,0.8
adaptive,15,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,1,0,1,1
adaptive,20,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,0,1,1
adaptive,20,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,1,0,1,0.8
adaptive,20,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,1,0,1,1
adaptive,25,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,1,1,1
adaptive,25,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,1,1,1,0.8
adaptive,25,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,1,1,1,1
adaptive,30,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,1,1,1,1
adaptive,30,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,1,1,1,1
adaptive,30,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,1,2,1,1
embedding-only,1,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,1398,1,1
